iter	Logloss
0	0.6913627104
1	0.6898590847
2	0.6882197301
3	0.6867770902
4	0.684816493
5	0.6834927925
6	0.6817188081
7	0.6802684594
8	0.6788240012
9	0.6773096569
10	0.6760148248
11	0.6742923711
12	0.6728908418
13	0.6713920964
14	0.6698796115
15	0.6684929457
16	0.6661685999
17	0.6647838315
18	0.6636926535
19	0.6622913969
20	0.6605848281
21	0.6596102695
22	0.6583396682
23	0.6565527743
24	0.6556349903
25	0.6547789452
26	0.6538631223
27	0.6529555772
28	0.6521558745
29	0.6508531454
30	0.6495799167
31	0.6484507722
32	0.6476143593
33	0.646800251
34	0.6446647931
35	0.6437831479
36	0.6427161883
37	0.641826764
38	0.6408441715
39	0.6394632708
40	0.6385420941
41	0.6378982441
42	0.6372213675
43	0.6351811904
44	0.6341274155
45	0.6333524447
46	0.6321076599
47	0.6310240234
48	0.6298732327
49	0.6289403704
50	0.6282025408
51	0.6274118186
52	0.626429268
53	0.6257636451
54	0.6251854691
55	0.6241551435
56	0.6236381582
57	0.623055945
58	0.6224346758
59	0.6217484811
60	0.6208757743
61	0.620344681
62	0.6198132332
63	0.6191061475
64	0.6182877864
65	0.6165203428
66	0.6156894919
67	0.6149214744
68	0.6141157759
69	0.6137071447
70	0.6133346247
71	0.6116937961
72	0.6112811256
73	0.6105556715
74	0.6097846093
75	0.6093617263
76	0.6084491802
77	0.6075734788
78	0.6062261276
79	0.6054773634
80	0.6048052763
81	0.6043926033
82	0.6038719675
83	0.6032997765
84	0.6028240287
85	0.6025023522
86	0.6022167832
87	0.601359192
88	0.6009964755
89	0.6005911565
90	0.6002200105
91	0.5997705242
92	0.5988480282
93	0.5984762691
94	0.5979518061
95	0.5975678031
96	0.59725544
97	0.5968905247
98	0.5966045619
99	0.5962585098
100	0.5958023944
101	0.5954031784
102	0.5951392798
103	0.5949226917
104	0.5945218558
105	0.5934067284
106	0.5927641273
107	0.5923089005
108	0.5920241593
109	0.5917250101
110	0.5914886116
111	0.5912457719
112	0.5910414672
113	0.5907861703
114	0.590422706
115	0.5902410821
116	0.5899717981
117	0.5896761824
118	0.5894722245
119	0.5891823716
120	0.5882603054
121	0.5870623449
122	0.5869224523
123	0.5858997339
124	0.5857400801
125	0.5851750985
126	0.5846866336
127	0.5844205918
128	0.5839973883
129	0.5836638833
130	0.5832477492
131	0.5825338037
132	0.582140065
133	0.5818589659
134	0.5816535313
135	0.581550161
136	0.5814057684
137	0.5809191321
138	0.5808094328
139	0.580384215
140	0.5792747684
141	0.5790724691
142	0.578730369
143	0.5785839396
144	0.5784660737
145	0.5779372369
146	0.577719144
147	0.5775039898
148	0.5774323033
149	0.5772614278
150	0.577188201
151	0.5770712018
152	0.576961691
153	0.57684932
154	0.5764590392
155	0.5760047104
156	0.5758721016
157	0.5757035289
158	0.5752345002
159	0.5748763829
160	0.5747971358
161	0.5742726982
162	0.5741469179
163	0.5735419698
164	0.5733782722
165	0.5733193848
166	0.5723308828
167	0.5719807195
168	0.5718291267
169	0.5714131672
170	0.571257614
171	0.5711482256
172	0.5710845639
173	0.5709523076
174	0.5705911672
175	0.570526712
176	0.5704782177
177	0.5703251422
178	0.5702558483
179	0.570160783
180	0.5700456751
181	0.569979778
182	0.5697592472
183	0.5692904134
184	0.5692242628
185	0.5690023418
186	0.5688412575
187	0.5685506381
188	0.5685020949
189	0.5680749205
190	0.5675819556
191	0.5674375463
192	0.5673695708
193	0.5672220484
194	0.5667967018
195	0.5666978274
196	0.5666217345
197	0.5664794749
198	0.5663434402
199	0.5659562572
200	0.5656090377
201	0.5655744945
202	0.5654200491
203	0.5652151283
204	0.5650745376
205	0.5647790433
206	0.5645855578
207	0.5644461445
208	0.5642354646
209	0.5641897314
210	0.5639044231
211	0.563679752
212	0.5636392004
213	0.563436578
214	0.5633794612
215	0.5632389303
216	0.563126748
217	0.5627333568
218	0.5626434017
219	0.5625850929
220	0.5625189132
221	0.5623140811
222	0.5622135089
223	0.5620914354
224	0.5614010555
225	0.5611970534
226	0.5611115787
227	0.5609395398
228	0.5608324855
229	0.5607049822
230	0.5601379507
231	0.5600375054
232	0.5600165004
233	0.5596468987
234	0.5595886041
235	0.5593694117
236	0.5591258452
237	0.5589159848
238	0.5585083209
239	0.5581710158
240	0.5581465799
241	0.5580284383
242	0.5578828963
243	0.557623316
244	0.5573937432
245	0.5573784181
246	0.5572741873
247	0.5571025875
248	0.5569434625
249	0.5565745148
250	0.556495126
251	0.5564351682
252	0.556037942
253	0.5555664891
254	0.5551207102
255	0.5548326736
256	0.5547784878
257	0.5546431695
258	0.5544044216
259	0.5543858039
260	0.5541334927
261	0.5541029145
262	0.5538183117
263	0.5535968436
264	0.5535238282
265	0.5532823456
266	0.5532472846
267	0.5530401611
268	0.5530047996
269	0.5523047069
270	0.551505193
271	0.5511765429
272	0.550983265
273	0.5509102353
274	0.5505849779
275	0.5504129899
276	0.5496552948
277	0.5493876026
278	0.5493626916
279	0.5493512341
280	0.5493307761
281	0.5492400678
282	0.5486370334
283	0.5486015946
284	0.5481058315
285	0.5479590809
286	0.5477213804
287	0.547660698
288	0.547642164
289	0.5474743826
290	0.547402905
291	0.5466676675
292	0.5462486419
293	0.5462039497
294	0.5460698844
295	0.5460427756
296	0.5457967272
297	0.5457241486
298	0.5457030116
299	0.5453271355
300	0.5452599219
301	0.5452329194
302	0.5451781995
303	0.5451741446
304	0.5450073138
305	0.544839995
306	0.5446439967
307	0.5446081399
308	0.5445756914
309	0.5445494405
310	0.5444395164
311	0.5442939818
312	0.5442003278
313	0.5441310192
314	0.5440905848
315	0.5440776082
316	0.5440648312
317	0.5435103293
318	0.5434460473
319	0.5433133827
320	0.5426788112
321	0.5422852414
322	0.5422554101
323	0.542153318
324	0.5419526086
325	0.5416946614
326	0.5415560467
327	0.5413390359
328	0.5411332641
329	0.5409906367
330	0.5407925679
331	0.5406427956
332	0.5404838362
333	0.5404436745
334	0.5403468851
335	0.5402900764
336	0.5397698522
337	0.5396782197
338	0.5396287906
339	0.5395809457
340	0.5394613396
341	0.5387184133
342	0.5384949645
343	0.5383122711
344	0.5382900812
345	0.5382425756
346	0.5380268876
347	0.5377548487
348	0.5376061583
349	0.5373942942
350	0.5373381853
351	0.5373345966
352	0.5369111335
353	0.5366805142
354	0.5365271422
355	0.5360031141
356	0.5358416242
357	0.5355445036
358	0.5355344831
359	0.5353772553
360	0.5352449717
361	0.5351729446
362	0.5346059709
363	0.5344445084
364	0.5343745313
